Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,54,47.07,47.09,114.73,0.348,57,45.19,45.18,126.13,0.0885,-11.4,1
2,Ven,1,False,44,46.14,46.14,95.35,0.8295,39,46.07,46.09,84.66,0.3431,10.69,1
3,Mer+Ven,2,False,97,92.95,92.96,104.36,0.7064,96,91.0,91.02,105.49,0.6172,-1.13,1
8,Mar,1,False,50,45.89,45.86,108.96,0.5607,50,46.39,46.36,107.78,0.6175,1.18,1
9,Mer+Mar,2,False,104,92.7,92.69,112.19,0.2628,107,91.33,91.29,117.16,0.1089,-4.97,1
10,Ven+Mar,2,False,93,91.78,91.75,101.33,0.9177,88,92.2,92.2,95.45,0.702,5.88,1
11,Mer+Ven+Mar,3,False,146,138.33,138.31,105.55,0.5305,145,136.88,136.88,105.93,0.4949,-0.38,1
16,Jup,1,False,60,46.12,46.14,130.08,0.0556,49,46.1,46.1,106.29,0.7135,23.79,1
17,Mer+Jup,2,False,114,92.92,92.96,122.68,0.0366,106,91.03,91.03,116.44,0.1272,6.24,1
18,Ven+Jup,2,False,104,92.01,92.02,113.03,0.228,88,91.91,91.93,95.75,0.7221,17.28,1
19,Mer+Ven+Jup,3,False,157,138.55,138.58,113.32,0.1236,145,136.59,136.61,106.16,0.4852,7.16,1
24,Mar+Jup,2,False,110,91.76,91.74,119.88,0.0672,98,92.24,92.2,106.25,0.5779,13.63,1
25,Mer+Mar+Jup,3,False,164,138.3,138.31,118.58,0.033,155,136.92,136.88,113.21,0.13,5.37,1
26,Ven+Mar+Jup,3,False,153,137.4,137.37,111.36,0.1913,136,137.78,137.78,98.7,0.9105,12.65,1
27,Mer+Ven+Mar+Jup,4,False,206,183.68,183.68,112.15,0.1034,193,182.22,182.21,105.92,0.4291,6.24,1
32,Sat,1,False,47,46.38,46.35,101.33,0.9569,53,45.91,45.9,115.44,0.2988,-14.11,1
33,Mer+Sat,2,False,101,93.18,93.16,108.4,0.4436,110,90.85,90.83,121.08,0.0481,-12.69,1
34,Ven+Sat,2,False,91,92.27,92.23,98.63,0.9447,92,91.72,91.74,100.31,1.0,-1.68,1
35,Mer+Ven+Sat,3,False,144,138.8,138.79,103.75,0.6842,149,136.4,136.42,109.24,0.2821,-5.49,1
40,Mar+Sat,2,False,97,92.02,91.95,105.41,0.6236,103,92.04,92.01,111.9,0.2644,-6.49,1
41,Mer+Mar+Sat,3,False,151,138.56,138.51,108.98,0.3107,160,136.73,136.69,117.02,0.0474,-8.04,1
42,Ven+Mar+Sat,3,False,140,137.65,137.58,101.7,0.8601,141,137.59,137.59,102.48,0.7857,-0.77,1
43,Mer+Ven+Mar+Sat,4,False,193,183.93,183.88,104.93,0.5198,198,182.03,182.02,108.77,0.2396,-3.84,1
48,Jup+Sat,2,False,106,92.25,92.23,114.91,0.1649,102,91.77,91.75,111.15,0.2969,3.76,1
49,Mer+Jup+Sat,3,False,160,138.77,138.78,115.3,0.0783,159,136.44,136.42,116.53,0.0551,-1.23,1
50,Ven+Jup+Sat,3,False,150,137.87,137.86,108.79,0.3136,141,137.32,137.33,102.68,0.7868,6.11,1
51,Mer+Ven+Jup+Sat,4,False,203,184.14,184.15,110.24,0.1682,198,181.74,181.76,108.94,0.2305,1.3,1
56,Mar+Jup+Sat,3,False,156,137.63,137.58,113.35,0.1245,151,137.64,137.59,109.7,0.2678,3.64,1
57,Mer+Mar+Jup+Sat,4,False,210,183.91,183.88,114.19,0.0563,208,182.07,182.02,114.24,0.0559,-0.05,1
58,Ven+Mar+Jup+Sat,4,False,199,183.01,182.95,108.74,0.2464,189,182.94,182.92,103.31,0.67,5.42,1
59,Mer+Ven+Mar+Jup+Sat,5,False,252,229.02,229.0,110.03,0.1304,246,227.12,227.1,108.31,0.2101,1.72,1
64,Ura,1,False,46,45.59,45.6,100.89,0.9694,42,46.63,46.65,90.06,0.5653,10.83,1
65,Mer+Ura,2,False,100,92.41,92.44,108.21,0.4513,99,91.58,91.59,108.1,0.4545,0.11,1
66,Ven+Ura,2,False,90,91.48,91.48,98.38,0.933,80,92.45,92.48,86.54,0.211,11.84,1
67,Mer+Ven+Ura,3,False,143,138.04,138.06,103.59,0.695,137,137.14,137.17,99.9,1.0,3.69,1
72,Mar+Ura,2,False,96,91.23,91.21,105.23,0.6305,91,92.76,92.75,98.1,0.915,7.13,1
73,Mer+Mar+Ura,3,False,150,137.79,137.79,108.86,0.3078,148,137.46,137.44,107.67,0.3765,1.19,1
74,Ven+Mar+Ura,3,False,139,136.87,136.84,101.56,0.8686,128,138.32,138.33,92.54,0.4006,9.02,1
75,Mer+Ven+Mar+Ura,4,False,192,183.17,183.16,104.82,0.5217,185,182.76,182.77,101.22,0.8798,3.59,1
80,Jup+Ura,2,False,106,91.48,91.48,115.87,0.1487,91,92.49,92.49,98.39,0.9283,17.48,1
81,Mer+Jup+Ura,3,False,160,138.04,138.06,115.91,0.0704,148,137.18,137.18,107.89,0.3682,8.02,1
82,Ven+Jup+Ura,3,False,150,137.12,137.12,109.39,0.2856,129,138.05,138.07,93.45,0.4672,15.94,1
83,Mer+Ven+Jup+Ura,4,False,203,183.41,183.43,110.68,0.1537,186,182.48,182.51,101.93,0.8099,8.75,1
88,Mar+Jup+Ura,3,False,156,136.87,136.84,113.98,0.1112,139,138.37,138.33,100.46,0.99,13.52,1
89,Mer+Mar+Jup+Ura,4,False,210,183.17,183.16,114.65,0.0512,196,182.81,182.77,107.22,0.3375,7.43,1
90,Ven+Mar+Jup+Ura,4,False,199,182.25,182.22,109.19,0.223,176,183.66,183.66,95.83,0.5982,13.36,1
91,Mer+Ven+Mar+Jup+Ura,5,False,252,228.29,228.28,110.38,0.1226,233,227.86,227.85,102.26,0.743,8.13,1
96,Sat+Ura,2,False,93,91.65,91.69,101.47,0.9254,95,92.28,92.3,102.95,0.8023,-1.48,1
97,Mer+Sat+Ura,3,False,147,138.21,138.26,106.36,0.469,152,136.97,136.99,110.97,0.2113,-4.61,1
98,Ven+Sat+Ura,3,False,137,137.29,137.32,99.79,1.0,133,137.83,137.88,96.49,0.7203,3.3,1
99,Mer+Ven+Sat+Ura,4,False,190,183.58,183.64,103.5,0.6504,190,182.27,182.32,104.24,0.586,-0.74,1
104,Mar+Sat+Ura,3,False,143,137.04,137.05,104.35,0.6244,144,138.15,138.15,104.23,0.6319,0.11,1
105,Mer+Mar+Sat+Ura,4,False,197,183.34,183.36,107.45,0.3197,201,182.6,182.58,110.08,0.183,-2.63,1
106,Ven+Mar+Sat+Ura,4,False,186,182.43,182.43,101.96,0.8051,181,183.45,183.47,98.66,0.8876,3.29,1
107,Mer+Ven+Mar+Sat+Ura,5,False,239,228.47,228.48,104.61,0.4935,238,227.64,227.66,104.55,0.4983,0.06,1
112,Jup+Sat+Ura,3,False,152,137.29,137.32,110.72,0.2102,144,137.89,137.88,104.43,0.6323,6.29,1
113,Mer+Jup+Sat+Ura,4,False,206,183.57,183.63,112.22,0.1026,201,182.33,182.32,110.24,0.176,1.98,1
114,Ven+Jup+Sat+Ura,4,False,196,182.67,182.7,107.3,0.3284,182,183.19,183.21,99.35,0.9598,7.95,1
115,Mer+Ven+Jup+Sat+Ura,5,False,249,228.69,228.75,108.88,0.1834,239,227.37,227.4,105.11,0.4532,3.77,1
120,Mar+Jup+Sat+Ura,4,False,202,182.42,182.42,110.73,0.1503,192,183.51,183.47,104.63,0.5546,6.1,1
121,Mer+Mar+Jup+Sat+Ura,5,False,256,228.46,228.48,112.06,0.0676,249,227.7,227.66,109.35,0.1631,2.7,1
122,Ven+Mar+Jup+Sat+Ura,5,False,245,227.55,227.55,107.67,0.2483,229,228.55,228.55,100.2,0.999,7.47,1
123,Mer+Ven+Mar+Jup+Sat+Ura,6,False,298,273.33,273.35,109.03,0.1341,286,272.49,272.49,104.96,0.4271,4.07,1
128,Nep,1,False,55,46.22,46.2,118.99,0.2418,48,46.02,46.08,104.3,0.8118,14.69,1
129,Mer+Nep,2,False,109,93.04,93.04,117.16,0.1116,104,90.97,91.02,114.33,0.1976,2.83,1
130,Ven+Nep,2,False,99,92.11,92.08,107.48,0.5037,87,91.83,91.92,94.74,0.6689,12.74,1
131,Mer+Ven+Nep,3,False,152,138.66,138.66,109.62,0.2709,143,136.53,136.61,104.74,0.6013,4.88,1
136,Mar+Nep,2,False,104,91.86,91.81,113.21,0.229,98,92.16,92.2,106.33,0.5737,6.88,1
137,Mer+Mar+Nep,3,False,158,138.42,138.39,114.14,0.1047,154,136.86,136.89,112.53,0.1551,1.62,1
138,Ven+Mar+Nep,3,False,147,137.5,137.44,106.91,0.435,136,137.71,137.78,98.76,0.9357,8.15,1
139,Mer+Ven+Mar+Nep,4,False,200,183.8,183.76,108.82,0.2394,192,182.16,182.22,105.4,0.4819,3.41,1
144,Jup+Nep,2,False,113,92.1,92.09,122.69,0.0341,97,91.85,91.93,105.61,0.6399,17.08,1
145,Mer+Jup+Nep,3,False,167,138.65,138.66,120.45,0.0184,153,136.54,136.62,112.06,0.1758,8.39,1
146,Ven+Jup+Nep,3,False,157,137.74,137.72,113.99,0.1119,136,137.4,137.51,98.98,0.9445,15.01,1
147,Mer+Ven+Jup+Nep,4,False,210,184.02,184.03,114.12,0.0609,192,181.84,181.95,105.59,0.4688,8.53,1
152,Mar+Jup+Nep,3,False,162,137.49,137.45,117.83,0.0418,146,137.74,137.78,106.0,0.5069,11.83,1
153,Mer+Mar+Jup+Nep,4,False,216,183.78,183.76,117.53,0.0203,202,182.18,182.22,110.88,0.1532,6.65,1
154,Ven+Mar+Jup+Nep,4,False,205,182.87,182.82,112.1,0.1078,184,183.03,183.11,100.53,0.9673,11.57,1
155,Mer+Ven+Mar+Jup+Nep,5,False,258,228.91,228.88,112.71,0.0581,240,227.22,227.3,105.62,0.4052,7.09,1
160,Sat+Nep,2,False,102,92.38,92.29,110.41,0.3322,100,91.71,91.74,109.04,0.4027,1.37,1
161,Mer+Sat+Nep,3,False,156,138.93,138.86,112.29,0.1547,156,136.4,136.42,114.37,0.1047,-2.08,1
162,Ven+Sat+Nep,3,False,146,138.01,137.92,105.79,0.5096,139,137.26,137.32,101.26,0.9016,4.53,1
163,Mer+Ven+Sat+Nep,4,False,199,184.29,184.23,107.98,0.282,195,181.7,181.76,107.32,0.3345,0.66,1
168,Mar+Sat+Nep,3,False,151,137.77,137.65,109.6,0.2693,150,137.59,137.59,109.02,0.302,0.58,1
169,Mer+Mar+Sat+Nep,4,False,205,184.06,183.96,111.38,0.1267,206,182.03,182.03,113.17,0.0828,-1.79,1
170,Ven+Mar+Sat+Nep,4,False,194,183.15,183.03,105.92,0.428,188,182.89,182.92,102.79,0.7158,3.13,1
171,Mer+Ven+Mar+Sat+Nep,5,False,247,229.18,229.08,107.78,0.2412,244,227.08,227.11,107.45,0.272,0.33,1
176,Jup+Sat+Nep,3,False,159,138.0,137.92,115.22,0.0773,149,137.29,137.33,108.53,0.3365,6.69,1
177,Mer+Jup+Sat+Nep,4,False,213,184.28,184.23,115.59,0.0337,205,181.73,181.76,112.8,0.094,2.78,1
178,Ven+Jup+Sat+Nep,4,False,203,183.38,183.3,110.7,0.1498,188,182.59,182.66,102.96,0.7043,7.74,1
179,Mer+Ven+Jup+Sat+Nep,5,False,256,229.39,229.34,111.6,0.076,244,226.78,226.84,107.59,0.2629,4.0,1
184,Mar+Jup+Sat+Nep,4,False,208,183.14,183.03,113.57,0.0672,198,182.92,182.93,108.24,0.2806,5.33,1
185,Mer+Mar+Jup+Sat+Nep,5,False,262,229.16,229.08,114.33,0.0278,254,227.11,227.12,111.84,0.0787,2.49,1
186,Ven+Mar+Jup+Sat+Nep,5,False,251,228.27,228.15,109.96,0.1339,236,227.96,228.0,103.52,0.6013,6.43,1
187,Mer+Ven+Mar+Jup+Sat+Nep,6,False,304,274.03,273.94,110.94,0.0664,292,271.9,271.95,107.39,0.2293,3.55,1
192,Ura+Nep,2,False,101,91.56,91.54,110.32,0.3278,90,92.44,92.47,97.36,0.8414,12.95,1
193,Mer+Ura+Nep,3,False,155,138.13,138.13,112.22,0.1593,146,137.14,137.17,106.46,0.4741,5.76,1
194,Ven+Ura+Nep,3,False,145,137.19,137.17,105.69,0.5164,128,137.99,138.05,92.76,0.4234,12.94,1
195,Mer+Ven+Ura+Nep,4,False,198,183.5,183.5,107.9,0.2904,184,182.45,182.5,100.85,0.9304,7.05,1
200,Mar+Ura+Nep,3,False,150,136.94,136.9,109.53,0.2707,139,138.32,138.32,100.49,0.9876,9.04,1
201,Mer+Mar+Ura+Nep,4,False,204,183.26,183.23,111.32,0.1291,195,182.77,182.77,106.69,0.3754,4.63,1
202,Ven+Mar+Ura+Nep,4,False,193,182.33,182.28,105.85,0.4322,176,183.62,183.65,95.85,0.5982,10.0,1
203,Mer+Ven+Mar+Ura+Nep,5,False,246,228.39,228.36,107.71,0.246,232,227.82,227.85,101.83,0.7985,5.88,1
208,Jup+Ura+Nep,3,False,159,137.2,137.18,115.89,0.072,139,138.02,138.06,100.71,0.9644,15.18,1
209,Mer+Jup+Ura+Nep,4,False,213,183.51,183.5,116.07,0.033,195,182.47,182.51,106.87,0.3703,9.21,1
210,Ven+Jup+Ura+Nep,4,False,203,182.59,182.55,111.18,0.1383,177,183.33,183.39,96.55,0.6685,14.63,1
211,Mer+Ven+Jup+Ura+Nep,5,False,256,228.63,228.62,111.97,0.0747,233,227.52,227.59,102.41,0.7332,9.57,1
216,Mar+Jup+Ura+Nep,4,False,208,182.34,182.28,114.07,0.0628,187,183.65,183.65,101.82,0.8345,12.25,1
217,Mer+Mar+Jup+Ura+Nep,5,False,262,228.39,228.36,114.72,0.0283,243,227.85,227.86,106.65,0.3241,8.07,1
218,Ven+Mar+Jup+Ura+Nep,5,False,251,227.47,227.41,110.34,0.1214,224,228.7,228.73,97.95,0.7788,12.4,1
219,Mer+Ven+Mar+Jup+Ura+Nep,6,False,304,273.27,273.23,111.25,0.0634,280,272.65,272.68,102.7,0.6675,8.55,1
224,Sat+Ura+Nep,3,False,148,137.39,137.38,107.72,0.3644,142,137.86,137.87,103.0,0.7547,4.72,1
225,Mer+Sat+Ura+Nep,4,False,202,183.7,183.71,109.96,0.1761,198,182.31,182.32,108.61,0.2605,1.36,1
226,Ven+Sat+Ura+Nep,4,False,192,182.77,182.76,105.05,0.4986,180,183.16,183.2,98.27,0.8483,6.77,1
227,Mer+Ven+Sat+Ura+Nep,5,False,245,228.81,228.82,107.07,0.2805,236,227.36,227.4,103.8,0.5831,3.27,1
232,Mar+Sat+Ura+Nep,4,False,197,182.54,182.49,107.92,0.2819,191,183.49,183.47,104.1,0.6042,3.83,1
233,Mer+Mar+Sat+Ura+Nep,5,False,251,228.59,228.56,109.81,0.1336,247,227.69,227.67,108.48,0.2065,1.32,1
234,Ven+Mar+Sat+Ura+Nep,5,False,240,227.67,227.62,105.42,0.4122,228,228.53,228.54,99.77,1.0,5.65,1
235,Mer+Ven+Mar+Sat+Ura+Nep,6,False,293,273.46,273.43,107.15,0.2308,284,272.49,272.5,104.23,0.4995,2.92,1
240,Jup+Sat+Ura+Nep,4,False,205,182.78,182.76,112.16,0.0977,191,183.2,183.21,104.26,0.5998,7.9,1
241,Mer+Jup+Sat+Ura+Nep,5,False,259,228.82,228.83,113.19,0.0455,247,227.4,227.4,108.62,0.2023,4.57,1
242,Ven+Jup+Sat+Ura+Nep,5,False,249,227.91,227.89,109.25,0.1568,229,228.25,228.28,100.33,0.9893,8.93,1
243,Mer+Ven+Jup+Sat+Ura+Nep,6,False,302,273.68,273.69,110.35,0.0848,285,272.19,272.23,104.7,0.4538,5.64,1
248,Mar+Jup+Sat+Ura+Nep,5,False,254,227.67,227.62,111.56,0.078,239,228.57,228.55,104.56,0.5083,7.0,1
249,Mer+Mar+Jup+Sat+Ura+Nep,6,False,308,273.46,273.43,112.63,0.035,295,272.52,272.5,108.25,0.1774,4.38,1
250,Ven+Mar+Jup+Sat+Ura+Nep,6,False,297,272.55,272.49,108.97,0.132,276,273.36,273.37,100.96,0.896,8.01,1
251,Mer+Ven+Mar+Jup+Sat+Ura+Nep,7,False,350,318.08,318.05,110.04,0.0689,332,317.07,317.08,104.71,0.4153,5.33,1
1,Mer,1,False,102,94.12,94.17,108.38,0.4615,108,90.39,90.36,119.48,0.0732,-11.11,2
2,Ven,1,False,77,92.33,92.29,83.4,0.1142,81,92.19,92.18,87.86,0.2866,-4.47,2
3,Mer+Ven,2,False,176,185.4,185.41,94.93,0.5118,188,181.57,181.54,103.54,0.6528,-8.61,2
8,Mar,1,False,90,91.77,91.73,98.08,0.9224,108,92.67,92.71,116.54,0.1251,-18.46,2
9,Mer+Mar,2,False,192,184.85,184.87,103.87,0.6139,216,182.05,182.08,118.65,0.0122,-14.78,2
10,Ven+Mar,2,False,166,183.08,183.0,90.67,0.2124,186,183.83,183.87,101.18,0.8937,-10.51,2
11,Mer+Ven+Mar,3,False,265,275.13,275.1,96.32,0.5677,293,272.22,272.24,107.63,0.1945,-11.31,2
16,Jup,1,False,97,92.29,92.28,105.11,0.6174,110,92.14,92.2,119.38,0.0609,-14.27,2
17,Mer+Jup,2,False,197,185.36,185.39,106.28,0.3992,218,181.52,181.55,120.1,0.0062,-13.82,2
18,Ven+Jup,2,False,174,183.59,183.54,94.78,0.4887,191,183.3,183.36,104.2,0.6139,-9.43,2
19,Mer+Ven+Jup,3,False,271,275.63,275.61,98.32,0.8001,298,271.68,271.72,109.69,0.106,-11.37,2
24,Mar+Jup,2,False,187,183.04,182.98,102.16,0.7749,214,183.79,183.87,116.43,0.0249,-14.27,2
25,Mer+Mar+Jup,3,False,287,275.09,275.07,104.33,0.4706,322,272.18,272.23,118.31,0.002,-13.98,2
26,Ven+Mar+Jup,3,False,263,273.33,273.24,96.22,0.5409,292,273.92,274.02,106.6,0.2789,-10.38,2
27,Mer+Ven+Mar+Jup,4,False,360,364.36,364.3,98.8,0.8433,399,361.33,361.4,110.43,0.0425,-11.62,2
32,Sat,1,False,86,92.75,92.69,92.72,0.506,110,91.87,91.81,119.74,0.0717,-27.02,2
33,Mer+Sat,2,False,186,185.79,185.78,100.11,1.0,216,181.23,181.15,119.19,0.0108,-19.07,2
34,Ven+Sat,2,False,162,184.05,183.95,88.02,0.0981,189,183.03,182.97,103.26,0.6803,-15.24,2
35,Mer+Ven+Sat,3,False,259,276.05,276.0,93.82,0.31,294,271.4,271.32,108.33,0.1647,-14.5,2
40,Mar+Sat,2,False,176,183.49,183.4,95.92,0.604,218,183.51,183.5,118.8,0.0111,-22.88,2
41,Mer+Mar+Sat,3,False,276,275.51,275.47,100.18,0.9848,324,271.87,271.85,119.17,0.0013,-19.0,2
42,Ven+Mar+Sat,3,False,251,273.79,273.65,91.68,0.1629,294,273.66,273.65,107.43,0.2105,-15.76,2
43,Mer+Ven+Mar+Sat,4,False,348,364.78,364.69,95.4,0.3845,399,361.04,361.02,110.51,0.0391,-15.11,2
48,Jup+Sat,2,False,182,184.0,183.94,98.92,0.91,219,182.99,182.98,119.68,0.0086,-20.76,2
49,Mer+Jup+Sat,3,False,280,276.01,275.99,101.45,0.8208,325,271.35,271.33,119.77,0.001,-18.32,2
50,Ven+Jup+Sat,3,False,258,274.28,274.18,94.07,0.313,298,273.13,273.14,109.1,0.1345,-15.04,2
51,Mer+Ven+Jup+Sat,4,False,353,365.26,365.2,96.64,0.519,403,360.51,360.5,111.79,0.0226,-15.14,2
56,Mar+Jup+Sat,3,False,272,273.73,273.63,99.37,0.9455,323,273.61,273.65,118.05,0.0024,-18.68,2
57,Mer+Mar+Jup+Sat,4,False,370,364.72,364.67,101.45,0.7859,429,360.99,361.01,118.84,0.0003,-17.39,2
58,Ven+Mar+Jup+Sat,4,False,347,363.01,362.87,95.59,0.3913,399,362.74,362.79,110.0,0.0535,-14.41,2
59,Mer+Ven+Mar+Jup+Sat,5,False,442,453.0,452.9,97.57,0.6069,504,449.15,449.19,112.21,0.0073,-14.64,2
64,Ura,1,False,92,91.25,91.22,100.82,0.9322,88,93.22,93.3,94.4,0.6951,6.41,2
65,Mer+Ura,2,False,193,184.38,184.4,104.68,0.5384,195,182.65,182.7,106.76,0.3835,-2.09,2
66,Ven+Ura,2,False,169,182.57,182.49,92.57,0.3268,168,184.37,184.45,91.12,0.2537,1.45,2
67,Mer+Ven+Ura,3,False,267,274.65,274.64,97.21,0.6683,274,272.81,272.86,100.44,0.9587,-3.22,2
72,Mar+Ura,2,False,182,182.01,181.94,99.99,1.0,195,184.83,184.97,105.5,0.4687,-5.51,2
73,Mer+Mar+Ura,3,False,283,274.12,274.1,103.24,0.5942,302,273.27,273.38,110.51,0.086,-7.27,2
74,Ven+Mar+Ura,3,False,258,272.32,272.2,94.74,0.3961,272,274.97,275.1,98.92,0.8876,-4.18,2
75,Mer+Ven+Mar+Ura,4,False,356,363.4,363.34,97.96,0.7226,378,362.43,362.53,104.3,0.4104,-6.33,2
80,Jup+Ura,2,False,188,182.58,182.49,102.97,0.6779,198,184.38,184.47,107.38,0.3494,-4.42,2
81,Mer+Jup+Ura,3,False,287,274.67,274.62,104.49,0.4525,305,272.81,272.87,111.8,0.0546,-7.31,2
82,Ven+Jup+Ura,3,False,265,272.88,272.75,97.11,0.6513,278,274.52,274.61,101.27,0.8512,-4.15,2
83,Mer+Ven+Jup+Ura,4,False,361,363.95,363.86,99.19,0.9046,384,361.97,362.02,106.09,0.2532,-6.9,2
88,Mar+Jup+Ura,3,False,278,272.33,272.19,102.08,0.7237,301,274.98,275.11,109.46,0.1246,-7.38,2
89,Mer+Mar+Jup+Ura,4,False,377,363.42,363.32,103.74,0.4683,408,362.44,362.53,112.57,0.0156,-8.83,2
90,Ven+Mar+Jup+Ura,4,False,354,361.63,361.45,97.89,0.7066,378,364.11,364.24,103.82,0.4691,-5.92,2
91,Mer+Ven+Mar+Jup+Ura,5,False,450,451.71,451.56,99.62,0.9681,484,450.6,450.69,107.41,0.1088,-7.79,2
96,Sat+Ura,2,False,178,182.77,182.9,97.39,0.7823,198,183.95,184.09,107.64,0.3487,-10.25,2
97,Mer+Sat+Ura,3,False,277,274.83,275.02,100.79,0.9049,303,272.36,272.48,111.25,0.0732,-10.46,2
98,Ven+Sat+Ura,3,False,254,273.07,273.15,93.02,0.249,276,274.1,274.23,100.69,0.9323,-7.68,2
99,Mer+Ven+Sat+Ura,4,False,350,364.1,364.25,96.13,0.4682,380,361.53,361.64,105.11,0.3435,-8.98,2
104,Mar+Sat+Ura,3,False,268,272.52,272.61,98.34,0.8297,305,274.55,274.75,111.09,0.0728,-12.75,2
105,Mer+Mar+Sat+Ura,4,False,367,363.58,363.72,100.94,0.8629,410,361.99,362.16,113.26,0.0114,-12.32,2
