Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,358,147.6,148.11,242.55,0.2325,0,148.16,148.04,0.0,0.9261,242.55,1
5,Mer+Ear,2,True,521,294.88,295.49,176.68,0.1066,162,295.31,295.02,54.86,0.8141,121.83,1
6,Ven+Ear,2,True,547,294.78,295.38,185.56,0.0153,161,295.42,295.28,54.5,0.793,131.06,1
7,Mer+Ven+Ear,3,True,709,441.26,441.94,160.68,0.0066,322,441.77,441.45,72.89,0.8829,87.79,1
12,Ear+Mar,2,True,519,294.67,295.11,176.13,0.1193,138,295.69,295.56,46.67,0.2588,129.46,1
13,Mer+Ear+Mar,3,True,682,441.13,441.68,154.6,0.0502,300,442.02,441.73,67.87,0.5803,86.73,1
14,Ven+Ear+Mar,3,True,706,441.04,441.57,160.07,0.009,298,442.13,441.98,67.4,0.5497,92.67,1
15,Mer+Ven+Ear+Mar,4,True,868,586.71,587.32,147.94,0.004,459,587.66,587.34,78.11,0.7396,69.84,1
20,Ear+Jup,2,True,500,294.69,295.29,169.67,0.2735,177,295.54,295.41,59.89,0.9374,109.78,1
21,Mer+Ear+Jup,3,True,663,441.15,441.85,150.29,0.1474,339,441.87,441.56,76.72,0.9672,73.57,1
22,Ven+Ear+Jup,3,True,687,441.06,441.74,155.76,0.0438,337,441.98,441.83,76.25,0.9563,79.52,1
23,Mer+Ven+Ear+Jup,4,True,849,586.72,587.48,144.7,0.019,498,587.51,587.17,84.76,0.9848,59.94,1
28,Ear+Mar+Jup,3,True,661,440.93,441.47,149.91,0.1592,315,442.26,442.1,71.22,0.7853,78.69,1
29,Mer+Ear+Mar+Jup,4,True,824,586.57,587.22,140.48,0.0782,477,587.77,587.45,81.15,0.8971,59.32,1
30,Ven+Ear+Mar+Jup,4,True,846,586.49,587.11,144.25,0.0231,474,587.88,587.71,80.63,0.8686,63.62,1
31,Mer+Ven+Ear+Mar+Jup,5,True,1008,731.35,732.05,137.83,0.0095,635,732.6,732.25,86.68,0.9395,51.15,1
36,Ear+Sat,2,True,514,294.9,295.42,174.29,0.1476,146,295.53,295.28,49.4,0.4067,124.89,1
37,Mer+Ear+Sat,3,True,676,441.34,441.96,153.17,0.0703,307,441.85,441.42,69.48,0.7125,83.69,1
38,Ven+Ear+Sat,3,True,703,441.26,441.87,159.31,0.0092,306,441.99,441.7,69.23,0.6895,90.08,1
39,Mer+Ven+Ear+Sat,4,True,864,586.9,587.59,147.21,0.0036,466,587.5,587.03,79.32,0.8275,67.89,1
44,Ear+Mar+Sat,3,True,673,441.15,441.6,152.56,0.0818,284,442.24,441.98,64.22,0.278,88.34,1
45,Mer+Ear+Mar+Sat,4,True,835,586.77,587.34,142.31,0.0372,445,587.73,587.32,75.72,0.5397,66.59,1
46,Ven+Ear+Mar+Sat,4,True,860,586.71,587.24,146.58,0.0062,443,587.87,587.58,75.36,0.5098,71.23,1
47,Mer+Ven+Ear+Mar+Sat,5,True,1021,731.54,732.17,139.57,0.0024,603,732.58,732.12,82.31,0.696,57.26,1
52,Ear+Jup+Sat,3,True,656,441.17,441.78,148.7,0.1908,322,442.06,441.82,72.84,0.8747,75.85,1
53,Mer+Ear+Jup+Sat,4,True,818,586.79,587.5,139.4,0.1012,483,587.55,587.15,82.21,0.9399,57.2,1
54,Ven+Ear+Jup+Sat,4,True,843,586.72,587.41,143.68,0.025,481,587.7,587.42,81.84,0.9279,61.84,1
55,Mer+Ven+Ear+Jup+Sat,5,True,1004,731.55,732.33,137.24,0.011,641,732.4,731.94,87.52,0.9705,49.72,1
60,Ear+Mar+Jup+Sat,4,True,815,586.59,587.15,138.94,0.1109,460,587.96,587.7,78.24,0.7368,60.7,1
61,Mer+Ear+Mar+Jup+Sat,5,True,977,731.4,732.07,133.58,0.053,621,732.64,732.22,84.76,0.8645,48.82,1
62,Ven+Ear+Mar+Jup+Sat,5,True,1000,731.33,731.97,136.74,0.0151,618,732.78,732.5,84.34,0.8353,52.4,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,1161,875.36,876.09,132.63,0.0067,778,876.68,876.22,88.74,0.9192,43.89,1
68,Ear+Ura,2,True,511,294.48,295.02,173.53,0.1727,144,295.33,295.2,48.76,0.3872,124.77,1
69,Mer+Ear+Ura,3,True,672,440.97,441.62,152.39,0.084,303,441.69,441.4,68.6,0.6552,83.79,1
70,Ven+Ear+Ura,3,True,698,440.85,441.47,158.33,0.0138,302,441.77,441.62,68.36,0.6385,89.97,1
71,Mer+Ven+Ear+Ura,4,True,858,586.54,587.26,146.28,0.0071,460,587.34,587.01,78.32,0.7693,67.96,1
76,Ear+Mar+Ura,3,True,670,440.72,441.21,152.02,0.0938,282,442.03,441.9,63.8,0.2678,88.23,1
77,Mer+Ear+Mar+Ura,4,True,831,586.41,587.0,141.71,0.0446,441,587.57,587.29,75.05,0.4957,66.66,1
78,Ven+Ear+Mar+Ura,4,True,855,586.29,586.85,145.83,0.0088,439,587.66,587.5,74.7,0.4691,71.13,1
79,Mer+Ven+Ear+Mar+Ura,5,True,1015,731.18,731.83,138.82,0.0042,597,732.41,732.09,81.51,0.632,57.3,1
84,Ear+Jup+Ura,3,True,651,440.8,441.39,147.69,0.2214,321,441.92,441.75,72.64,0.8661,75.05,1
85,Mer+Ear+Jup+Ura,4,True,812,586.48,587.17,138.45,0.1274,480,587.47,587.13,81.71,0.923,56.75,1
86,Ven+Ear+Jup+Ura,4,True,836,586.35,587.03,142.58,0.0386,478,587.56,587.35,81.35,0.9066,61.22,1
87,Mer+Ven+Ear+Jup+Ura,5,True,996,731.24,732.0,136.21,0.019,636,732.31,731.93,86.85,0.9485,49.36,1
92,Ear+Mar+Jup+Ura,4,True,810,586.21,586.76,138.17,0.1384,459,587.82,587.62,78.09,0.7319,60.09,1
93,Mer+Ear+Mar+Jup+Ura,5,True,971,731.09,731.74,132.81,0.0736,618,732.55,732.2,84.36,0.8405,48.45,1
94,Ven+Ear+Mar+Jup+Ura,5,True,993,730.97,731.59,135.85,0.0227,615,732.64,732.42,83.94,0.8128,51.9,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,1153,875.06,875.76,131.76,0.0098,773,876.59,876.2,88.18,0.889,43.58,1
100,Ear+Sat+Ura,3,True,660,440.86,441.52,149.71,0.1477,290,441.76,441.62,65.65,0.3816,84.06,1
